index,City,Date,Card Type,Exp Type,Gender,Amount
36,"Delhi, India",23-Apr-14,Platinum,Entertainment,M,120646
37,"Greater Mumbai, India",25-Feb-15,Signature,Entertainment,F,124932
38,"Greater Mumbai, India",22-Jun-14,Platinum,Grocery,F,239114
39,"Bengaluru, India",17-Aug-14,Gold,Bills,F,40911
40,"Bengaluru, India",11-Sep-14,Platinum,Entertainment,F,230605
41,"Delhi, India",03-Dec-13,Signature,Fuel,F,225731
42,"Greater Mumbai, India",09-May-14,Gold,Fuel,M,255499
43,"Bengaluru, India",12-Sep-14,Platinum,Food,M,203817
44,"Delhi, India",17-Oct-13,Signature,Bills,F,25281
45,"Greater Mumbai, India",21-Dec-13,Platinum,Food,M,208068
46,"Ahmedabad, India",12-Mar-15,Platinum,Fuel,M,128753
47,"Greater Mumbai, India",08-Oct-14,Signature,Fuel,F,131605
48,"Ahmedabad, India",28-Oct-14,Gold,Bills,M,151958
49,"Delhi, India",29-Oct-14,Gold,Fuel,F,62399
50,"Delhi, India",22-Jul-14,Gold,Fuel,F,275065
51,"Greater Mumbai, India",03-Nov-14,Silver,Entertainment,F,91442
52,"Greater Mumbai, India",19-Feb-14,Signature,Grocery,M,225093
53,"Greater Mumbai, India",13-Oct-14,Signature,Grocery,M,166982
54,"Ahmedabad, India",11-Jan-14,Platinum,Fuel,F,30298
55,"Ahmedabad, India",12-Nov-14,Silver,Fuel,M,208002
56,"Delhi, India",25-Mar-15,Silver,Entertainment,F,172521
57,"Delhi, India",01-Apr-14,Silver,Food,F,283839
58,"Greater Mumbai, India",15-Dec-14,Gold,Bills,M,19803
59,"Ahmedabad, India",18-Dec-13,Platinum,Grocery,F,160168
60,"Bengaluru, India",05-Mar-14,Signature,Entertainment,M,274671
61,"Bengaluru, India",29-Jan-15,Silver,Fuel,M,38799
62,"Ahmedabad, India",23-Mar-14,Gold,Food,M,45898
63,"Greater Mumbai, India",24-Jan-15,Gold,Food,M,226160
64,"Greater Mumbai, India",13-Feb-15,Gold,Fuel,M,186661
65,"Greater Mumbai, India",26-Feb-15,Silver,Grocery,F,253728
66,"Delhi, India",01-Oct-14,Silver,Entertainment,F,39663
67,"Delhi, India",11-Apr-14,Signature,Bills,M,239053
68,"Delhi, India",14-May-15,Silver,Fuel,F,232025
69,"Delhi, India",05-Jan-15,Silver,Food,M,73097
70,"Delhi, India",16-Mar-15,Platinum,Entertainment,F,63773
71,"Bengaluru, India",08-Mar-14,Gold,Fuel,M,37639
72,"Delhi, India",03-Jul-14,Gold,Bills,F,110961
73,"Ahmedabad, India",12-Nov-14,Signature,Food,F,96108
74,"Bengaluru, India",22-Aug-14,Signature,Bills,M,66802
75,"Delhi, India",16-Jan-14,Signature,Grocery,M,286448
76,"Greater Mumbai, India",20-Nov-13,Signature,Bills,M,43856
77,"Greater Mumbai, India",18-Jul-14,Gold,Food,M,165381
78,"Delhi, India",31-Dec-14,Silver,Entertainment,F,120529
79,"Bengaluru, India",22-Feb-14,Gold,Food,F,165549
80,"Ahmedabad, India",30-Oct-13,Gold,Entertainment,M,84219
81,"Ahmedabad, India",18-Oct-14,Silver,Bills,F,103460
82,"Ahmedabad, India",30-Nov-14,Silver,Food,F,72730
83,"Delhi, India",10-Mar-14,Platinum,Grocery,F,93003
84,"Bengaluru, India",07-Aug-14,Gold,Bills,F,23154
85,"Ahmedabad, India",02-May-15,Silver,Grocery,F,142809
86,"Delhi, India",18-May-14,Signature,Entertainment,M,19082
87,"Delhi, India",18-Mar-14,Gold,Fuel,M,16252
88,"Bengaluru, India",02-Apr-14,Silver,Food,M,120587
89,"Ahmedabad, India",25-Nov-14,Signature,Bills,F,95881
90,"Ahmedabad, India",27-Jan-15,Gold,Food,F,21963
91,"Ahmedabad, India",24-Mar-14,Platinum,Bills,M,205480
92,"Bengaluru, India",18-Sep-14,Gold,Entertainment,F,21229
93,"Greater Mumbai, India",02-Apr-15,Signature,Grocery,M,274555
94,"Greater Mumbai, India",04-Jan-15,Signature,Entertainment,M,49357
95,"Ahmedabad, India",06-Feb-14,Silver,Grocery,F,248024
96,"Delhi, India",16-Nov-14,Platinum,Grocery,M,151811
97,"Greater Mumbai, India",23-Dec-13,Signature,Bills,M,45077
98,"Delhi, India",30-Aug-14,Silver,Food,F,42491
99,"Ahmedabad, India",22-Dec-14,Silver,Fuel,M,285009
100,"Delhi, India",20-Mar-14,Signature,Fuel,F,18267
101,"Greater Mumbai, India",12-Nov-14,Gold,Entertainment,F,180887
102,"Delhi, India",09-Feb-14,Signature,Fuel,M,154424
103,"Delhi, India",23-Mar-14,Silver,Bills,F,19723
104,"Bengaluru, India",29-Sep-14,Platinum,Grocery,M,299353
105,"Greater Mumbai, India",08-Sep-14,Platinum,Bills,M,113388
106,"Delhi, India",20-Mar-15,Silver,Bills,F,26143
107,"Delhi, India",22-Oct-13,Silver,Bills,F,204049
108,"Delhi, India",13-Oct-14,Platinum,Fuel,F,189997
109,"Bengaluru, India",24-Feb-14,Platinum,Food,M,250037
110,"Greater Mumbai, India",10-Nov-14,Silver,Bills,M,30164
111,"Delhi, India",17-Apr-15,Gold,Bills,M,191041
112,"Greater Mumbai, India",23-Jan-15,Silver,Food,M,9931
113,"Ahmedabad, India",11-Jan-14,Signature,Food,F,252301
114,"Delhi, India",19-Feb-14,Gold,Bills,F,96292
115,"Ahmedabad, India",03-Sep-14,Gold,Grocery,F,213280
116,"Bengaluru, India",02-Feb-14,Gold,Food,M,233265
117,"Delhi, India",06-May-14,Silver,Bills,M,193638
118,"Delhi, India",24-Jan-14,Platinum,Bills,F,251574
119,"Ahmedabad, India",12-Dec-14,Platinum,Fuel,M,214703
120,"Delhi, India",13-Nov-13,Signature,Entertainment,M,8641
121,"Delhi, India",30-Dec-13,Gold,Bills,F,277611
122,"Bengaluru, India",04-Apr-15,Signature,Entertainment,M,12734
123,"Bengaluru, India",01-May-15,Gold,Bills,F,21579
124,"Ahmedabad, India",11-Feb-14,Silver,Fuel,F,16208
125,"Ahmedabad, India",25-Apr-14,Gold,Food,M,80443
126,"Bengaluru, India",03-Mar-15,Platinum,Fuel,F,296406
127,"Greater Mumbai, India",13-Nov-13,Platinum,Fuel,M,83674
128,"Ahmedabad, India",09-May-14,Platinum,Bills,F,145531
129,"Delhi, India",20-Jul-14,Silver,Entertainment,M,193593
130,"Ahmedabad, India",11-Sep-14,Signature,Food,M,232555
131,"Ahmedabad, India",23-Oct-14,Platinum,Fuel,F,82572
132,"Delhi, India",11-Feb-15,Gold,Fuel,F,88505
133,"Ahmedabad, India",14-Aug-14,Signature,Entertainment,M,101434
134,"Delhi, India",26-May-14,Gold,Fuel,M,11318
135,"Ahmedabad, India",03-Jun-14,Signature,Food,M,35507
136,"Delhi, India",13-Mar-15,Gold,Bills,F,11945
137,"Delhi, India",22-Oct-14,Signature,Bills,M,188562
138,"Greater Mumbai, India",18-Oct-13,Platinum,Grocery,F,149560
139,"Ahmedabad, India",26-Jul-14,Silver,Bills,M,178276
140,"Delhi, India",25-Aug-14,Signature,Entertainment,M,24436
141,"Ahmedabad, India",02-Dec-14,Platinum,Grocery,F,167904
142,"Delhi, India",02-Nov-13,Gold,Grocery,F,173556
143,"Greater Mumbai, India",10-Aug-14,Platinum,Bills,F,229546
144,"Delhi, India",15-Aug-14,Gold,Food,F,279576
145,"Delhi, India",08-Jun-14,Platinum,Grocery,F,96395
146,"Delhi, India",03-May-14,Gold,Entertainment,F,57028
147,"Bengaluru, India",16-Jan-14,Signature,Grocery,F,156031
148,"Ahmedabad, India",12-May-14,Silver,Food,F,33363
149,"Bengaluru, India",06-Jan-14,Platinum,Fuel,F,179027
150,"Ahmedabad, India",26-Mar-15,Signature,Entertainment,M,40220
151,"Greater Mumbai, India",28-Mar-14,Signature,Grocery,F,44422
152,"Bengaluru, India",07-Feb-15,Platinum,Food,F,256189
153,"Bengaluru, India",03-Mar-15,Signature,Bills,M,274863
154,"Bengaluru, India",04-Aug-14,Signature,Grocery,F,82526
155,"Bengaluru, India",26-Nov-14,Silver,Fuel,M,125475
156,"Ahmedabad, India",06-Apr-14,Gold,Entertainment,M,250428
157,"Bengaluru, India",13-Sep-14,Platinum,Fuel,F,52304
158,"Greater Mumbai, India",31-Oct-14,Gold,Food,F,222759
159,"Ahmedabad, India",26-Nov-14,Signature,Bills,M,133224
160,"Bengaluru, India",10-Jan-14,Gold,Bills,M,44031
161,"Greater Mumbai, India",24-Feb-15,Platinum,Entertainment,M,236139
162,"Bengaluru, India",28-Mar-15,Silver,Grocery,F,53816
163,"Delhi, India",06-Feb-14,Silver,Food,F,142263
164,"Bengaluru, India",17-Nov-14,Silver,Food,F,253881
165,"Bengaluru, India",28-May-14,Gold,Food,M,270737
166,"Greater Mumbai, India",26-Feb-15,Signature,Bills,M,103641
167,"Ahmedabad, India",26-Jul-14,Signature,Fuel,M,272255
168,"Ahmedabad, India",05-Sep-14,Silver,Food,M,197183
169,"Greater Mumbai, India",21-Oct-14,Signature,Bills,F,91147
170,"Greater Mumbai, India",12-Oct-14,Signature,Grocery,M,77964
171,"Greater Mumbai, India",25-Jan-14,Silver,Entertainment,F,30149
172,"Delhi, India",17-Jun-14,Signature,Bills,F,39804
173,"Bengaluru, India",17-Oct-13,Signature,Grocery,F,70762
174,"Bengaluru, India",05-Mar-15,Platinum,Bills,M,205291
175,"Greater Mumbai, India",18-Oct-14,Silver,Bills,M,87996
176,"Greater Mumbai, India",18-Jan-15,Signature,Grocery,F,141643
177,"Ahmedabad, India",19-Dec-13,Silver,Grocery,F,96350
178,"Bengaluru, India",19-Jul-14,Signature,Bills,F,59595
179,"Greater Mumbai, India",25-Dec-14,Signature,Food,F,270193
180,"Delhi, India",24-Dec-14,Signature,Entertainment,M,46115
181,"Greater Mumbai, India",10-Aug-14,Gold,Bills,M,72408
182,"Ahmedabad, India",07-Apr-15,Gold,Food,M,22917
183,"Bengaluru, India",05-Dec-14,Signature,Bills,F,180735
184,"Bengaluru, India",01-Dec-13,Platinum,Food,F,92433
185,"Ahmedabad, India",24-Feb-15,Platinum,Food,M,193902
186,"Bengaluru, India",17-Jan-15,Signature,Entertainment,F,128943
187,"Delhi, India",17-Jan-15,Platinum,Grocery,F,223347
188,"Ahmedabad, India",10-Feb-14,Silver,Food,M,120647
189,"Delhi, India",26-Mar-14,Gold,Grocery,M,219971
190,"Bengaluru, India",12-May-15,Silver,Food,F,222168
191,"Greater Mumbai, India",05-Apr-14,Gold,Food,M,161223
192,"Bengaluru, India",02-Mar-15,Gold,Fuel,F,259131
193,"Greater Mumbai, India",27-Aug-14,Platinum,Entertainment,F,108870
194,"Ahmedabad, India",03-Sep-14,Signature,Entertainment,M,163971
195,"Greater Mumbai, India",17-Aug-14,Gold,Grocery,M,69490
196,"Ahmedabad, India",24-Oct-14,Platinum,Bills,M,21726
197,"Ahmedabad, India",29-Oct-13,Platinum,Bills,M,238959
198,"Delhi, India",29-Jun-14,Silver,Entertainment,F,24796
199,"Delhi, India",05-Nov-14,Silver,Grocery,F,125995
200,"Ahmedabad, India",13-Jan-14,Signature,Grocery,M,222708
201,"Bengaluru, India",27-Oct-14,Platinum,Fuel,F,258206
202,"Greater Mumbai, India",20-Jul-14,Gold,Entertainment,M,31617
203,"Ahmedabad, India",15-Sep-14,Gold,Bills,F,75224
204,"Greater Mumbai, India",23-Oct-14,Signature,Grocery,M,293306
205,"Bengaluru, India",05-Jun-14,Gold,Entertainment,F,128345
206,"Bengaluru, India",25-Nov-14,Signature,Bills,F,121847
207,"Ahmedabad, India",30-Nov-14,Silver,Bills,M,46509
208,"Bengaluru, India",30-Jan-15,Gold,Fuel,M,108341
209,"Bengaluru, India",30-Aug-14,Silver,Grocery,F,188556
210,"Bengaluru, India",11-Mar-15,Silver,Fuel,F,62248
211,"Bengaluru, India",15-Mar-14,Gold,Entertainment,M,221366
212,"Delhi, India",04-Jan-15,Gold,Food,F,8707
213,"Greater Mumbai, India",18-Feb-15,Platinum,Food,M,100596
214,"Ahmedabad, India",13-Jul-14,Platinum,Food,F,279463
215,"Greater Mumbai, India",05-Jan-15,Silver,Food,F,273374
216,"Ahmedabad, India",05-Dec-14,Gold,Fuel,F,56130
217,"Ahmedabad, India",14-Mar-15,Platinum,Food,M,53631
218,"Bengaluru, India",10-Dec-13,Gold,Bills,F,97086
219,"Delhi, India",06-Sep-14,Platinum,Fuel,F,164430
220,"Delhi, India",26-Nov-13,Gold,Food,F,54070
221,"Ahmedabad, India",25-Nov-14,Platinum,Food,M,214628
222,"Delhi, India",11-Nov-14,Gold,Food,F,175562
223,"Greater Mumbai, India",15-Jun-14,Platinum,Grocery,F,173136
224,"Greater Mumbai, India",25-Dec-14,Gold,Entertainment,F,55286
225,"Ahmedabad, India",04-Feb-14,Gold,Entertainment,M,199236
226,"Greater Mumbai, India",31-Jul-14,Platinum,Entertainment,M,193725
227,"Bengaluru, India",21-Dec-14,Gold,Fuel,M,253822
228,"Ahmedabad, India",30-Dec-14,Gold,Bills,F,114593
229,"Delhi, India",20-Jan-15,Signature,Bills,M,202750
230,"Delhi, India",30-Mar-14,Signature,Food,M,86613
231,"Greater Mumbai, India",28-Feb-15,Gold,Food,F,274310
232,"Ahmedabad, India",08-Mar-14,Signature,Bills,F,38859
233,"Ahmedabad, India",27-Jul-14,Signature,Fuel,F,47378
234,"Greater Mumbai, India",28-Nov-13,Platinum,Bills,F,236840
235,"Ahmedabad, India",30-Mar-14,Platinum,Grocery,M,12774
236,"Ahmedabad, India",15-Feb-14,Silver,Food,M,298262
237,"Ahmedabad, India",14-Oct-13,Silver,Grocery,F,221912
238,"Delhi, India",13-Dec-13,Gold,Fuel,M,217036
239,"Bengaluru, India",07-Aug-14,Gold,Bills,M,123198
240,"Greater Mumbai, India",25-Feb-15,Silver,Grocery,F,38401
241,"Ahmedabad, India",11-Dec-14,Signature,Bills,M,279277
242,"Bengaluru, India",12-Feb-15,Platinum,Food,M,102382
243,"Ahmedabad, India",24-Jan-14,Signature,Entertainment,M,74822
244,"Bengaluru, India",02-Jan-15,Signature,Fuel,M,246675
245,"Delhi, India",06-Nov-13,Silver,Entertainment,M,108170
246,"Greater Mumbai, India",26-May-15,Gold,Food,F,112158
247,"Greater Mumbai, India",10-Feb-15,Gold,Grocery,M,52775
248,"Ahmedabad, India",19-Oct-13,Signature,Grocery,M,157847
249,"Delhi, India",31-Jan-14,Gold,Food,M,260042
250,"Greater Mumbai, India",08-Dec-14,Platinum,Bills,F,127370
251,"Delhi, India",22-Jun-14,Signature,Entertainment,F,262134
252,"Greater Mumbai, India",26-Mar-15,Signature,Fuel,M,256228
253,"Bengaluru, India",20-Oct-13,Silver,Food,M,148421
254,"Delhi, India",27-Oct-13,Platinum,Fuel,M,282581
255,"Greater Mumbai, India",28-Nov-13,Gold,Bills,M,214594
256,"Greater Mumbai, India",21-Aug-14,Signature,Food,M,106325
257,"Bengaluru, India",11-Feb-15,Signature,Fuel,M,259745
258,"Bengaluru, India",10-Jan-14,Silver,Food,F,176552
259,"Bengaluru, India",03-Jan-15,Platinum,Food,M,150464
260,"Bengaluru, India",28-Apr-15,Gold,Food,F,240838
261,"Ahmedabad, India",20-Mar-15,Silver,Grocery,F,184375
262,"Delhi, India",10-Aug-14,Platinum,Fuel,M,157806
263,"Bengaluru, India",23-Jul-14,Platinum,Bills,F,282936
264,"Greater Mumbai, India",31-Mar-15,Platinum,Bills,M,197291
265,"Bengaluru, India",05-Sep-14,Gold,Entertainment,M,25556
266,"Ahmedabad, India",28-Sep-14,Silver,Fuel,F,238795
267,"Bengaluru, India",21-Jan-14,Gold,Grocery,M,283336
268,"Bengaluru, India",17-Jun-14,Signature,Fuel,F,202600
269,"Delhi, India",10-Nov-13,Gold,Entertainment,F,230422
270,"Bengaluru, India",31-May-14,Platinum,Food,F,297267
271,"Delhi, India",17-Feb-14,Silver,Bills,F,60032
272,"Bengaluru, India",25-Mar-14,Signature,Fuel,M,27769
273,"Greater Mumbai, India",22-Oct-14,Signature,Grocery,F,98177
274,"Greater Mumbai, India",20-May-15,Signature,Food,F,130117
275,"Greater Mumbai, India",06-May-15,Signature,Fuel,M,141847
276,"Greater Mumbai, India",07-Dec-13,Silver,Grocery,M,79090
277,"Bengaluru, India",01-Dec-13,Silver,Grocery,F,172917
278,"Greater Mumbai, India",02-Feb-14,Platinum,Bills,M,6168
279,"Delhi, India",20-Apr-15,Gold,Bills,M,239918
280,"Greater Mumbai, India",23-Feb-14,Gold,Grocery,F,66911
281,"Bengaluru, India",22-Jun-14,Signature,Bills,F,197278
282,"Ahmedabad, India",05-Jul-14,Gold,Entertainment,M,26320
283,"Delhi, India",27-Dec-14,Signature,Bills,M,48614
284,"Delhi, India",21-Jul-14,Silver,Grocery,F,72840
285,"Bengaluru, India",02-May-15,Gold,Grocery,F,114885
286,"Greater Mumbai, India",07-May-15,Gold,Bills,F,86243
287,"Delhi, India",11-Dec-14,Signature,Food,F,165261
288,"Ahmedabad, India",03-Mar-15,Gold,Bills,M,254282
289,"Delhi, India",12-Nov-14,Platinum,Food,M,258432
290,"Greater Mumbai, India",20-Dec-14,Platinum,Bills,F,202942
291,"Ahmedabad, India",31-Mar-15,Silver,Bills,F,186614
292,"Greater Mumbai, India",23-Jan-15,Signature,Grocery,M,138009
293,"Greater Mumbai, India",28-Mar-14,Gold,Food,F,244511
294,"Ahmedabad, India",10-Aug-14,Silver,Entertainment,F,94085
295,"Bengaluru, India",26-Mar-15,Gold,Food,M,239629
296,"Ahmedabad, India",08-Dec-14,Signature,Grocery,M,269760
297,"Ahmedabad, India",02-Oct-14,Silver,Grocery,M,271662
298,"Bengaluru, India",09-Aug-14,Gold,Food,F,138684
299,"Ahmedabad, India",07-Oct-13,Silver,Food,F,85887
300,"Bengaluru, India",21-Mar-15,Platinum,Bills,F,233960
301,"Ahmedabad, India",17-Nov-14,Signature,Entertainment,M,48998
302,"Delhi, India",21-Mar-14,Signature,Bills,M,284405
303,"Delhi, India",05-May-14,Platinum,Bills,M,50389
304,"Greater Mumbai, India",05-Apr-14,Platinum,Entertainment,M,27934
305,"Greater Mumbai, India",17-May-14,Platinum,Bills,F,59791
306,"Bengaluru, India",12-Oct-14,Gold,Bills,M,181736
307,"Delhi, India",13-Apr-14,Gold,Bills,F,196017
308,"Ahmedabad, India",19-Oct-13,Platinum,Food,M,242564
309,"Greater Mumbai, India",21-Feb-15,Platinum,Food,F,156759
310,"Bengaluru, India",13-Mar-14,Gold,Grocery,F,98925
311,"Delhi, India",24-Jan-14,Gold,Fuel,F,91479
312,"Delhi, India",13-Nov-13,Gold,Food,M,267161
313,"Ahmedabad, India",09-Jun-14,Gold,Bills,F,181055
314,"Delhi, India",03-Jun-14,Platinum,Fuel,M,141307
315,"Ahmedabad, India",07-Apr-15,Silver,Food,F,99582
316,"Greater Mumbai, India",18-Mar-15,Signature,Fuel,F,291853
317,"Delhi, India",27-Jan-14,Silver,Entertainment,F,39929
318,"Ahmedabad, India",07-Apr-15,Signature,Grocery,F,198134
319,"Delhi, India",03-Apr-14,Silver,Fuel,M,61026
320,"Bengaluru, India",20-Mar-14,Platinum,Grocery,M,273642
321,"Greater Mumbai, India",19-Feb-15,Platinum,Entertainment,M,126460
322,"Greater Mumbai, India",11-Dec-14,Silver,Food,F,97683
323,"Delhi, India",10-May-14,Gold,Bills,F,253231
324,"Ahmedabad, India",24-Feb-14,Platinum,Fuel,M,149221
325,"Delhi, India",04-Nov-14,Gold,Bills,M,195461
326,"Ahmedabad, India",09-Oct-13,Silver,Grocery,M,64793
327,"Bengaluru, India",10-Aug-14,Silver,Bills,F,228355
328,"Bengaluru, India",29-Apr-14,Silver,Fuel,M,110386
329,"Greater Mumbai, India",01-Nov-14,Gold,Food,M,220508
330,"Bengaluru, India",18-Aug-14,Platinum,Bills,F,113326
331,"Greater Mumbai, India",23-Oct-13,Gold,Food,M,113440
332,"Ahmedabad, India",13-Jun-14,Gold,Bills,F,26379
333,"Bengaluru, India",15-May-15,Platinum,Food,F,17119
334,"Bengaluru, India",05-May-15,Silver,Entertainment,F,280425
335,"Bengaluru, India",21-May-14,Silver,Grocery,M,184874
336,"Greater Mumbai, India",08-Apr-14,Signature,Bills,F,225791
337,"Ahmedabad, India",03-Jun-14,Silver,Fuel,M,119983
338,"Bengaluru, India",05-Feb-14,Silver,Grocery,M,46498
339,"Delhi, India",15-May-14,Gold,Bills,M,254215
340,"Greater Mumbai, India",06-Jun-14,Gold,Food,M,49107
341,"Delhi, India",22-Jan-14,Platinum,Grocery,F,156601
342,"Delhi, India",08-Oct-14,Platinum,Bills,F,221978
343,"Bengaluru, India",28-Nov-13,Silver,Grocery,F,141978
344,"Delhi, India",03-May-15,Gold,Grocery,F,233701
345,"Ahmedabad, India",29-Jul-14,Gold,Entertainment,F,110597
346,"Greater Mumbai, India",22-Aug-14,Signature,Bills,F,231346
347,"Greater Mumbai, India",16-Apr-14,Silver,Bills,M,275685
348,"Greater Mumbai, India",08-Aug-14,Gold,Bills,M,294619
349,"Greater Mumbai, India",26-Jan-14,Signature,Grocery,F,122365
350,"Bengaluru, India",07-Aug-14,Silver,Grocery,M,102668
351,"Delhi, India",24-Feb-14,Signature,Grocery,F,191962
352,"Greater Mumbai, India",08-Apr-15,Platinum,Entertainment,M,291078
353,"Ahmedabad, India",24-Jan-14,Silver,Bills,M,155265
354,"Greater Mumbai, India",18-Aug-14,Platinum,Bills,M,249645
355,"Greater Mumbai, India",14-Dec-14,Gold,Food,M,135964
356,"Ahmedabad, India",13-Mar-14,Silver,Food,M,3644
357,"Greater Mumbai, India",18-Mar-14,Gold,Entertainment,M,290731
358,"Delhi, India",10-Apr-14,Gold,Food,M,141932
359,"Ahmedabad, India",05-May-15,Gold,Food,M,138110
360,"Bengaluru, India",12-Feb-14,Gold,Fuel,M,206938
361,"Greater Mumbai, India",21-Sep-14,Gold,Bills,M,173793
362,"Greater Mumbai, India",03-Jul-14,Signature,Bills,M,20426
363,"Ahmedabad, India",09-Feb-14,Silver,Food,F,240271
364,"Greater Mumbai, India",30-May-14,Signature,Fuel,F,39619
365,"Bengaluru, India",16-Aug-14,Silver,Fuel,M,50043
366,"Ahmedabad, India",21-Oct-14,Signature,Bills,F,215025
367,"Bengaluru, India",16-Aug-14,Signature,Fuel,M,203809
368,"Delhi, India",16-Dec-14,Gold,Fuel,F,144616
369,"Delhi, India",12-Mar-15,Signature,Food,F,292791
370,"Ahmedabad, India",01-Aug-14,Platinum,Fuel,M,227665
371,"Bengaluru, India",07-Feb-15,Signature,Grocery,F,157602
372,"Ahmedabad, India",21-Jan-14,Gold,Food,M,20723
373,"Bengaluru, India",26-Apr-14,Signature,Grocery,F,276218
374,"Delhi, India",11-Dec-14,Signature,Grocery,F,285323
375,"Bengaluru, India",27-Jul-14,Platinum,Fuel,M,295733
376,"Bengaluru, India",23-Aug-14,Platinum,Food,M,291844
377,"Greater Mumbai, India",23-Sep-14,Platinum,Grocery,F,293021
378,"Delhi, India",05-Dec-13,Silver,Entertainment,F,136898
379,"Bengaluru, India",26-Sep-14,Platinum,Food,M,20910
380,"Ahmedabad, India",25-Apr-14,Gold,Fuel,F,293462
381,"Bengaluru, India",23-Apr-15,Silver,Entertainment,F,88510
382,"Delhi, India",12-Nov-14,Platinum,Fuel,M,285707
383,"Bengaluru, India",30-Jan-15,Platinum,Bills,M,73220
384,"Ahmedabad, India",29-Dec-13,Gold,Bills,M,125001
385,"Ahmedabad, India",27-Aug-14,Silver,Fuel,M,247200
386,"Delhi, India",07-Feb-15,Gold,Entertainment,M,114547
387,"Ahmedabad, India",26-Jan-15,Gold,Fuel,M,292488
388,"Greater Mumbai, India",09-Jun-14,Gold,Fuel,M,27659
389,"Greater Mumbai, India",28-Jan-14,Silver,Bills,M,129614
390,"Delhi, India",12-May-14,Signature,Fuel,F,114333
391,"Bengaluru, India",14-Dec-14,Signature,Fuel,F,47343
392,"Greater Mumbai, India",11-Oct-14,Gold,Fuel,F,229813
393,"Ahmedabad, India",30-Jan-14,Gold,Bills,F,6144
394,"Delhi, India",26-Feb-14,Silver,Food,M,28970
395,"Ahmedabad, India",18-Mar-15,Signature,Grocery,F,155813
396,"Ahmedabad, India",16-Mar-14,Signature,Bills,M,115408
397,"Greater Mumbai, India",20-Sep-14,Platinum,Bills,F,125785
398,"Delhi, India",07-Feb-15,Platinum,Food,F,204715
399,"Greater Mumbai, India",09-Aug-14,Signature,Bills,M,221673
400,"Ahmedabad, India",27-Jul-14,Silver,Bills,M,172333
401,"Bengaluru, India",16-Dec-14,Platinum,Bills,F,299969
402,"Bengaluru, India",18-Mar-15,Silver,Entertainment,F,36040
403,"Ahmedabad, India",17-Oct-14,Platinum,Bills,M,259541
404,"Bengaluru, India",09-Apr-14,Gold,Food,F,284892
405,"Ahmedabad, India",17-Dec-13,Silver,Fuel,M,135177
406,"Ahmedabad, India",13-Jul-14,Gold,Fuel,F,59198
407,"Ahmedabad, India",26-Apr-14,Gold,Fuel,M,219063
408,"Ahmedabad, India",19-Feb-14,Platinum,Bills,M,110893
409,"Bengaluru, India",14-Nov-14,Signature,Entertainment,M,243580
410,"Greater Mumbai, India",14-May-15,Platinum,Food,F,35445
411,"Delhi, India",24-Mar-14,Platinum,Grocery,M,137872
412,"Bengaluru, India",24-Jan-15,Silver,Grocery,F,269409
